Requisition ID,Requisition Line Description,Requisitioned Quantity,UOMID,Expected Purchase Price,Completed Date Time,Cancelled Date Time,Created By Contact ID,Asset ID
33,"70483730 - Quanding 53,64 x 2,62 mm, Kalrez 6375 / Кводринг",4.0000000,2,358.0224000,28/09/2022 11:03:48 AM,,1460,129211
34,"70483724 - O-ring D=31,34 x 3,53 mm, Kalrez 6375 / Уплотнительное кольцо",2.0000000,2,166.7864000,28/09/2022 11:03:58 AM,,1460,129205
35,Oil Mobil DTE 10  Excel 32  / Масло,10.0000000,20,4.4515000,28/09/2022 11:53:20 AM,,1460,128958
36,Oil Mobil DTE 10  Excel 32  / Масло,5.0000000,20,4.4515000,28/09/2022 11:53:14 AM,,1460,128958
37,"72459919 - Gasket SW, G 2045 x 1995 mm - CGI CS, / Проклакда Розетка Сварная",1.0000000,2,1303.9950000,2/11/2022 3:15:49 PM,2/11/2022 3:15:49 PM,1460,129230
38,Смазка пластичная универсальная WD-40 400 ml,1.0000000,2,6.7076000,28/09/2022 11:34:33 AM,,1460,173611
39,Наждачная бумага от 0 мм до 20мм,0.5000000,10,4.7835000,,28/09/2022 11:24:37 AM,1460,130568
40,"Силиконовый компаунд MOLYKOTE 111 / Стойкий к озону, ультра-фиолетовому излучению и экстримальным температурам, Масло- и бензостойкий, Высокая термостойкость (до +315°С)",0.1000000,17,27.2847000,28/09/2022 11:02:20 AM,,1460,128974
41,Наждачная бумага от 0 мм до 20мм,1.0000000,10,4.7835000,28/09/2022 11:35:16 AM,,1460,130568
42,"Силиконовый компаунд MOLYKOTE 111 / Стойкий к озону, ультра-фиолетовому излучению и экстримальным температурам, Масло- и бензостойкий, Высокая термостойкость (до +315°С)",0.9000000,17,27.2847000,28/09/2022 11:37:13 AM,,1460,128974
43,Смазка пластичная универсальная WD-40 400 ml,1.0000000,2,6.7076000,2/11/2022 3:15:11 PM,2/11/2022 3:15:11 PM,1460,173611
44,150-PC-017A/B/ TSP 6X4-16/ Mechanical SEAL,1.0000000,8,20523.5889000,2/11/2022 3:15:29 PM,2/11/2022 3:15:29 PM,1465,129045
45,Паронит маслобензостойкий Давление: 10Мпа Температура: 490 СТолщина: 3 мм Размер: 2м х 1.25м/Pressure: 10 Mpa,25.0000000,17,0.0000000,,8/11/2022 10:08:44 AM,1461,130404
46,,0.0000000,,0.0000000,15/12/2022 4:21:10 PM,15/12/2022 4:21:10 PM,689,
47,перчатки форменные для военнослужащих,1.0000000,15,10.0000000,,10/01/2023 10:20:36 AM,1460,208438
48,"Metal Pipes (steel, circular section, suture, diameter not more than 168,3 mm), LT FT - GTL Cluster Tubes",350.0000000,8,9148.4832000,,10/01/2023 4:16:30 PM,1674,174587
49,"ЗАПАСНЫЕ ЧАСТИ НА ПУСКО-НАЛАДОЧНЫЕ РАБОТЫ ДЛЯ ВСЕХ ГОРЕЛОК, В ЧАСТНОСТИ: ОГНЕУПОРНАЯ ПЛИТКА ДЛЯ 120-HF-101 (S.361-1 OF 1)",2.0000000,2,0.0000000,,10/01/2023 4:10:59 PM,1456,188433
50,Differential Pressure Level Transmitter,1.0000000,2,0.0000000,,10/02/2023 4:50:51 PM,1461,209757
51,Differential Pressure Level Transmitter,1.0000000,2,0.0000000,,10/02/2023 4:52:53 PM,1461,209757
51,Differential Pressure Level Transmitter,1.0000000,2,0.0000000,,10/02/2023 4:52:49 PM,1461,209757
52,Differential Pressure Level Transmitter,4.0000000,2,0.0000000,13/02/2023 9:10:16 AM,13/02/2023 9:10:16 AM,1461,209757
53,Differential Pressure Level Transmitter,1.0000000,2,2000.0000000,,,1461,209757
54,Differential Pressure Level Transmitter,1.0000000,2,2000.0000000,,,1461,209757
55,Differential Pressure Level Transmitter,1.0000000,2,2000.0000000,,7/07/2023 11:15:07 AM,1461,209757
56,Differential Pressure Level Transmitter,1.0000000,2,2000.0000000,,,1461,209757
57,Pressure Differential Transmitters,17.0000000,2,1500.0000000,15/02/2023 12:45:53 PM,15/02/2023 12:45:53 PM,1648,210493
58,Flow Transmitter,1.0000000,2,1500.0000000,,16/02/2023 12:08:14 PM,1648,210500
58,Level Transmitter,1.0000000,2,1500.0000000,,16/02/2023 12:09:46 PM,1648,210515
59,Sampling cylinder assembly with overflow tube/Пробоотборный цилиндр в сборе с трубкой от перелива,10.0000000,8,1500.0000000,,,703,210517
59,Sampling cylinder assembly (without overflow tube) coated with Silconert/Пробоотборный цилиндр в сборе (без трубки от перелива) с покрытием Silconert,4.0000000,8,2500.0000000,,,703,210518
