Catalogue ID,Catalogue Number,Catalogue Description,User Defined Text Box1,UOMID
50926,,"90 DEG ELL LR, CS A234-WPB-SMLS BE B16.9, STD",,2
50927,,"RED TEE, CS A234-WPB-SMLS BE B16.9, STD X S-XS",,2
50928,,"90 DEG ELL LR, CS A234-WPB-SMLS BE B16.9, S-XS",,2
50929,,"CHECK VA SWING, CS A216-WCB HF (COCR) TRIM 13CR CL300 RF 125 AARH FP BLTD CAP API-600 B16.5 WILDD-IN RING",,2
50937,MIX gas,MIX gas,,2
50938,H2S Gas,H2S Gas,,2
50939,Acid and Base ,Acid and Base ,,2
50940,CH4,CH4,,2
50941,,ER70S-3,,2
50942,отрезной,отрезной,,2
52191,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK DC1-21B0646",,2
52192,,"MALE CONNECTOR, STAINLESS STEEL ASTM A-276 TP316 NPTF/T W/FL NUT & DOUBLE FERRULES",,2
52193,,"MALE CONNECTOR, STAINLESS STEEL ASTM A-276 TP316 NPTF/T W/FL NUT & DOUBLE FERRULES",,2
52194,,revet ,,2
52195,,filter mesh size 100Mc,,2
52196,,CS STD PIP ,,2
52197,,CS CL3000 A234,,2
52198,,"SW flange, CS A105 RF, CL 150",,2
52199,,Bolt A193 Gr B7,,2
52200,,Gasket 316 SS WND ,,2
82391,,Vapour barrier ,,2
82392,,Metal Jacket,,2
82393,,"ANTI CHLORIDE COATING, PRE INSULATED TUBE, 1/2"" OD Thk: 0.035"" ANTI-CHLORIDE COATED TUBE 304 STAINLESS STEEL W/FIBROUS GLASS THERMAL INSULATION AND BLACK THERMOPLASTIC COMPOUND JACKET, INSULATED THICKNESS 1""",,2
82394,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK ",,2
82395,,"TUBE UNION, STAINLESS STEEL ASTM A-276 TP316 T/T W/FL NUT & DOUBLE FERRULES",,2
82396,,scaffolding elements,,2
82397,Mobil EP 2 ,Mobil EP 2 ,,2
82398,Sand paper,Sand paper,,2
82399,insul,insul,,2
82400,01103,01103,,2
82401,3687,3687,,2
82402,,male connector,,2
82403,,S3 V220C2,,2
82404,,S3 V220C2,,2
82405,,S2 V1000,,2
82406,,"MALE CONNECTOR, STAINLESS STEEL ASTM A-276 TP316 NPTF/T W/FL NUT & DOUBLE FERRULES",,2
82417,"1"" #300, SW, A105 RF Flan","1"" #300, SW, A105 RF Flange",,2
82418,,"1"" x 3/4"" ECC Reducer",,2
82419,,"2""x1 Con Reducer",,2
82420,,Elbow 90degree,,2
82421,,"1"" SW Gate valve",,2
82422,,"1"" A106 STD Pipe",,2
82423,,"SW gaskets 1"" 300 CL SS",,2
82424,3687,3687,,2
82426,,Monthly Lub oil replacement and LLF inspection. (This is just testing),,2
82427,,Monthly Lub oil replacement and LLF inspection. (This is just testing),,2
82437,,Monthly Lub oil replacement and LLF inspection. (This is just testing),,2
82438,,Monthly Lub oil replacement and LLF inspection. (This is just testing),,2
82439,,This is just testing.,,2
82440,,This is just testing.,,2
83437,,"TUBE UNION, STAINLESS STEEL ASTM A-276 TP316 T/T W/FL NUT & DOUBLE FERRULES",,2
83490,,"1"" pipe ",,2
83491,,f,,2
83492,,"TEE, CS-A234-WPB-SMLS BE B16.9 S-STD X S-XS",,2
83493,,"BOLT/NUTS, STUD BOLT W/H HEX NUR AS A193 GR B7 W/A194 GR 2H FLOURO CARBON COATED B18.2 70 MM BOLT LENGTH",,2
83494,,Filler metal  ER316L ,,2
83553,,"TUBE UNION, STAINLESS STEEL ASTM A-276 TP316 T/T W/FL NUT & DOUBLE FERRULES",,2
83554,30 meter 9*20 OJ Heat tra,30 meter 9*20 OJ Heat tracing cable,,2
83555,T connector for coupling ,T connector for coupling two cables,,2
83556,,tape,,2
83557,Set connection with seala,Set connection with sealant,,2
83558,,ER70S-3,,2
83566,,ER316L,,2
83567,,	ER316L,,2
83569,,ER70S-3 filler wire,,2
83570,,Grounding cable,,2
83571,,Steel Conduit,,2
83572,,Tip,,2
83573,,Clamp,,2
83574,,Shell Gadus ,,2
83575,,ER70S-3 filler wire,,2
83576,аргон,аргон,,2
83577,,ER70S-3,,2
83578,a,a,,2
83579,2040,2040,,2
83580,O0006935,O0006935,,2
83581,ATRRTR,ATRRTR,,2
83582,dafaohfohg,dafaohfohg,,2
83585,Шлифов,Шлифов,,2
83586,,ER70S-3,,2
83587,,ER70S-3,,2
83588,отрезной,отрезной,,2
83589,,Transformer Oil,,2
83590,,Temperature sensor,,2
83591,,Tip,,2
83595,,ER70S-3,,2
83596,отрезной,отрезной,,2
83597,аргон,аргон,,2
83598,,ER316L,,2
83599,Пудгм,Пудгм,,2
83636,,Self regulating Heating cable HTSX15-2 OJ ,,2
83637,Power termination Kit ZP-,Power termination Kit ZP-XP,,2
83638,PETK-2,PETK-2,,2
83639,FT-1H fixing tape,FT-1H fixing tape,,2
83640,60*40 selindr insulation ,60*40 selindr insulation material,,2
83641,wire,wire,,2
83642,Gate valve,Gate valve,,2
83643,injection flange 3 inch. ,injection flange 3 inch. cl.300,,2
83644,injection flange 2 inch. ,injection flange 2 inch. cl 150,,2
83645,45408,45408,,2
83646,60/40 selindr insulation ,60/40 selindr insulation material,,2
83647,Wire ,Wire ,,2
83648,Self regulating Heating c,Self regulating Heating cable HTSX15-2 OJ,,2
83649,Power termination Kit ZP-,Power termination Kit ZP-XP,,2
83650,PETK-2 ,PETK-2 ,,2
83651,FT-1H fixing tape ,FT-1H fixing tape ,,2
83652,gate valve 2 inch. cl150,gate valve 2 inch. cl150,,2
83653,gate valve 3 inch. cl300,gate valve 3 inch. cl300,,2
83654,Injection flange 2 inch. ,Injection flange 2 inch. cl. 150,,2
83655,,"'ANTI CHLORIDE COATING, PRE INSULATED TUBE, 1/2"" OD Thk: 0.035"" ANTI-CHLORIDE COATED TUBE 304 STAINLESS STEEL W/FIBROUS GLASS THERMAL INSULATION AND BLACK THERMOPLASTIC COMPOUND JACKET, INSULATED THICKNESS 1""",,2
83656,,Copper pipe ,,2
83657,45408,45408,,2
83658,45408,45408,,2
83659,,"MALE CONNECTOR, STAINLESS STEEL ASTM A-276 TP316 NPTF/T W/FL NUT & DOUBLE FERRULES",,2
83660,45408,45408,,2
83661,,Heating cable 9:2 OJ 5 meter 2 ea Set connection with sealant 1 ea tape,,2
83663,45408,45408,,2
83664,45408,45408,,2
83665,,24/01/2023,,2
83666,4508,4508,,2
83670,EJA110E ,EJA110E ,,2
83671,Level transmitter MN.EJA1,Level transmitter MN.EJA110E,,2
83672,Level transmitter MN:EJA1,Level transmitter MN:EJA110E,,2
83673,Flow transmitter MN:EJA11,Flow transmitter MN:EJA110E,,2
83674,Flowtransmitter EJA110E,Flowtransmitter EJA110E,,2
83675,45408,45408,,2
83676,6140,6140,,2
83677,O005237,O005237,,2
83698,,A new redesigned mechanical seal set.,,2
83699,5230,5230,,2
83743,45408,45408,,2
83744,45408,45408,,2
83745,6815,6815,,2
83746,,FEB236BUSAE EXDE IIC T4 2X36WATTS EMERGENCY FLUORESCENT FIXTURE WITH 3XM20 ENTRY,,2
83747,12361,12361,,2
83761,,Repair and Calibration. ,,2
83762,,Repair and Calibration. ,,2
83765,,316 filer metal ,,2
83766,,316,,2
83768,,ER70S-3,,2
83769,отрезной,отрезной,,2
83770,,ER70S-3,,2
83771,,ER70S-3,,2
83780,45408,45408,,2
83781,45408,45408,,2
83782,,s,,2
83783,,CS metal list,,2
83784,45408,45408,,2
83785,6815,6815,,2
83807,,ER70S-3,,2
83808,,308 SS filler metall,,2
83809,,10m2 inuslation was reapplied ,,2
83810,,insulation material,,2
83811,,ER70S-3,,2
83812,шлифова,шлифова,,2
83813,,308,,2
83814,шлифов,шлифов,,2
83815,,308 SS filler wire,,2
83816,,308 SS filler wire,,2
83818,,308SS filler wire,,2
83819,,TT were used ,,2
83820,,308SS filler wire ,,2
83822,,316 SS filler wire,,2
83825,45534,45534,,2
83826,,ER70S-3,,2
83827,,ER70S-3,,2
83828,,Spare parts were not used,,2
83829,,not used,,2
83830,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK DC1-21B0646",,2
83831,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK DC1-21B0646",,2
83832,,308 filler wire rod ,,2
83833,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK DC1-21B0646",,2
83834,,not used,,2
83835,,consumables were used by Contractor,,2
83836,,ER70S-3,,2
83837,,ER70S-3,,2
83838,,ER70S-3,,2
83840,,ER70S-3,,2
83841,,spare parts were not used,,2
83848,Film,Film,,2
83849,strech,Film,,2
83850,str,Film,,2
83851,45525,Film,,2
83852,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK DC1-21B0646",,2
83853,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK DC1-21B0646",,2
83854,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK DC1-21B0646",,2
83855,,consumables were ,,2
83856,,consumables were not used ,,2
83857,,spare parts were not used ,,2
83858,,consumables w,,2
83859,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK DC1-21B0646",,2
83860,,spares and consumables not used ,,2
83861,,onsumables not used,,2
83862,,consumables not used,,2
83863,,No spare,,2
83864,,ER70S-3,,2
83865,,ER70S-3,,2
83866,,ER70S-3,,2
83867,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK DC1-21B0646",,2
83868,,consumables not used,,2
83869,,not used consumables ,,2
83870,,ER70S-3,,2
83871,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK DC1-21B0646",,2
83872,,ER70S-3,,2
83873,,316 SS filler wire rod,,2
83874,,ER70S-3,,2
83875,,ER70S-3,,2
83876,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK DC1-21B0646",,2
83877,,ER70S-3,,2
83878,,"consumables not used, reinstalled the same insulation material 2m3",,2
83879,,"consumables not used, reinstalled the same insulation material 4 m3",,2
83884,WIM00412260,WIM00412260,,2
83891,,insulation material spares were not used ,,2
83892,,spare,,2
83894,,ER70S-3,,2
83895,045544,045544,,2
83897,,filter G4,,2
83898,,copper pipe ,,2
83899,CPU fo Batch controller,CPU fo Batch controller,,2
83900,,ER70S-3,,2
83907,,ER70S-3,,2
83908,,ER70S-3,,2
83909,,"ASTM A269 TP304 Welded Annealed Tube 1/2""O.D x 0.035""THK DC1-21B0646",,2
83910,,ER70S-3,,2
83911,,ER70S-3,,2
83912,,DN15.88 Copper tube,,2
83913,,DN15.88 3.5m copper pipe,,2
83914,,SHELL Gadus S2 V100 2,,2
83915,,SHELL Gadus S2 V100 2,,2
83916,,SHELL Gadus S2 V100 2,,2
83917,,ER70S-3,,2
83918,,ER70S-3,,2
83919,АРГОН,АРГОН,,2
83920,,ER70S-3,,2
83921,,ER70S-3,,2
83922,,ER70S-3,,2
83923,S810FPLG-18-I3,S810FPLG-18-I3,,2
83924,,ER70S-3,,2
83925,,ER70S-3,,2
83926,,ER70S-3,,2
83930,,ER70S-3,,2
83931,,ER70S-3,,2
83932,,ER70S-3,,2
83933,,ER70S-3,,2
83935,,ER70S-3,,2
83936,,ER70S-3,,2
83937,45550,45550,,2
83938,,ER70S-3,,2
83939,,ER70S-3,,2
83940,454048,454048,,2
83941,,теплопроводный цемент,,2
83942,er,er,,2
83943,,ER70S-3,,2
83952,,ER70S-6,,2
83953,45552,45552,,2
83954,,ER70S-3,,2
83957,,polythelene,,2
83959,,ER316 2.4mm filler wire ,,2
83960,,ER70S-3,,2
83961,,ER70S-3,,2
83962,,ER70S-3,,2
83963,,ER70S-3,,2
83964,,308 SS filler wire,,2
83965,,SS308 filler wire 2.4mm,,2
83966,,cutter bit,,2
84039,,ER316,,2
84044,,ER70S-3,,2
84045,,ER70S-3,,2
84046,,ER70S-3,,2
84047,,ER70S-3,,2
84048,,battery (3.7 V),,2
84049,,ABB invertor model-ACS580],,2
84050,,Kanop ip,,2
84051,,ER70S-3,,2
84052,,Резьбовое соединение  DN20,,2
84053,Широкая изоляционная лент,Широкая изоляционная лента,,2
84054,,Широкая изоляционная лента,,2
84055,,"INSULATION MATERIALS 3/8 """,,2
84056,WiM000000100Wim,WiM000000100Wim,,2
84057,1194,1194,,2
84058,O0005830,O0005830,,2
84376,6814,6814,,2
84377,,ER70S-3  электрод аргонивий,,2
84378,,Valve Repair Kit 5807-Type 042,,2
84379,45803,45803,,2
84380,,ER70S-3  elektrod argonoviy,,2
84382,,фольга лист ,,2
84383,,скоч ,,2
84465,,amerkanka ,,2
84466,,globe valve,,2
84467,,globe valve DN15,,2
84481,,2.4mm lik ER308L filler wire,,2
84482,,ER70S-6 filler wire ,,2
84483,,ER70S-6 filler wire ,,2
84485,,ER70S-6 filler wire (2.4mm),,2
