Asset ID,Parent Asset ID,Asset Description,Asset Number
210895,94895,HC Gas Detector,135-GF-0039
210897,94895,HC Gas Detector,135-GF-0034
210902,94895,HC Gas Detector,135-GF-0009
210904,94895,HC Gas Detector,135-GF-0042
210905,94895,HC Gas Detector,135-GF-0027
210906,94895,HC Gas Detector,135-GF-0024
210907,94895,HC Gas Detector,135-GF-0040
210910,94895,HC Gas Detector,135-GF-0052
210912,94895,HC Gas Detector,135-GF-0028
210915,94895,HC Gas Detector,135-GF-0020
210918,94895,HC Gas Detector,135-GF-0035
210925,94895,HC Gas Detector,135-GF-0008
210926,94895,HC Gas Detector,135-GF-0041
210929,94895,HC Gas Detector,135-GF-0048
210930,94895,HC Gas Detector,135-GF-0032
94952,94920,SATURATED STEAM K.O. DRUM,120-VD-112
94953,94920,SATURATED STEAM K.O. DRUM,120-VD-212
95065,94920,H.P STEAM SILENCER,120-XS-001
95074,94920,PROCESS CONDENSATE FEED/EFFLUENT EXCHANGER,120-ES-008A
95075,94920,PROCESS CONDENSATE FEED/EFFLUENT EXCHANGER,120-ES-008B
95076,94920,PROCESS CONDENSATE FEED/EFFLUENT EXCHANGER,120-ES-008C
95188,94920,Saturated Steam(S) / Nitrogen,120-PSV-0050A
95189,94920,Saturated Steam(S) / Nitrogen,120-PSV-0050B
95190,94920,Saturated Steam(S) / Nitrogen,120-PSV-0050C
95191,94920,Saturated Steam(S) / Nitrogen,120-PSV-0050D
95531,94920,CONTROL VALVE,120-FV-0053A
95532,94920,CONTROL VALVE,120-FV-0053B
95533,94920,TRANSMITTER_DP LEVEL,120-LT-0051A
95534,94920,TRANSMITTER_DP LEVEL,120-LT-0051B
95535,94920,TRANSMITTER_DP LEVEL,120-LT-0051C
95536,94920,TRANSMITTER_DP ,120-PDT-0052
95537,94920,TRANSMITTER_PRESSURE,120-PT-0054A
95538,94920,TRANSMITTER_PRESSURE,120-PT-0054B
95539,94920,TRANSMITTER_PRESSURE,120-PT-0054C
95540,94920,CONTROL VALVE,120-PV-0054
95541,94920,CONTROL VALVE,120-PV-0055A
95542,94920,CONTROL VALVE,120-PV-0055B
95543,94920,TRANSMITTER_TEMPERATURE,120-TT-0052
95544,94920,TRANSMITTER_TEMPERATURE,120-TT-0053
95545,94920,TRANSMITTER_TEMPERATURE,120-TT-0054
95546,94920,ON-OFF VALVE,120-XV-0053
95550,94920,ON-OFF VALVE,120-XV-0055A
95558,94920,LEVEL GAUGE,120-LG-0054A
95559,94920,LEVEL GAUGE,120-LG-0054B
95560,94920,LEVEL GAUGE,120-LG-0054C
95561,94920,PRESSURE GAUGE,120-PG-0053
95562,94920,PRESSURE GAUGE,120-PG-0059
95572,94920,CONTROL VALVE,120-LV-0051
95613,94920,TRANSMITTER_PRESSURE,120-PT-0066
95614,94920,TRANSMITTER_TEMPERATURE,120-TT-0066
95615,94920,PRESSURE GAUGE,120-PG-0067
95147,94935,STEAM CONDENSATE PUMP,120-PC-003A
95148,94935,STEAM CONDENSATE PUMP,120-PC-003B
95185,94935,Saturated Steam(S) / Nitrogen,120-PSV-0032A
95186,94935,Saturated Steam(S) / Nitrogen,120-PSV-0032B
95593,94935,TRANSMITTER_DP LEVEL,120-LT-0091
95594,94935,CONTROL VALVE,120-LV-0091
95595,94935,TRANSMITTER_DP LEVEL,120-LT-0094
95596,94935,LEVEL GAUGE,120-LG-0093
95597,94935,PRESSURE GAUGE,120-PG-0091
95604,94935,TEMPERATURE GAUGE,120-TG-0091
95187,94936,Saturated Steam(S) / Nitrogen,120-PSV-0035
95196,94937,Tail Gas Fuel(G) / GAS,120-PSV-0084A
95197,94937,Tail Gas Fuel(G) / GAS,120-PSV-0084B
95616,94937,TRANSMITTER_DP LEVEL,120-LT-0081
95617,94937,TRANSMITTER_PRESSURE,120-PT-0083
95618,94937,TRANSMITTER_TEMPERATURE,120-TT-0081
95619,94937,LEVEL GAUGE,120-LG-0082
95620,94937,PRESSURE GAUGE,120-PG-0081
95621,94937,PRESSURE GAUGE,120-PG-0082
95622,94937,TEMPERATURE GAUGE,120-TG-0082
95717,94937,TRANSMITTER_PRESSURE,120-PT-1077
96645,94937,TRANSMITTER_PRESSURE,120-PT-2077
96646,94937,TRANSMITTER_DP PRESSURE,120-PDT-2079
96648,94937,TRANSMITTER_PRESSURE,120-PT-2501
99131,94937,I/P CONVERTER,120-PY-2516B
94936,94938,BOILER BLOW DOWN DRUM,120-VD-009
94948,94938,INTERMITTENT BLOW DOWN DRUM,120-VD-110
95033,94938,PHOSPHATE DOSING UNIT,120-XP-101
95070,94938,H.P STEAM SILENCER,120-XS-105
95230,94938,Saturated Steam(S) / Nitrogen,120-PSV-1135A
95231,94938,Saturated Steam(S) / Nitrogen,120-PSV-1135B
95232,94938,Saturated Steam(S) / Nitrogen,120-PSV-1135C
96437,94938,ANALYZER,120-AT-1102
96438,94938,ANALYZER,120-AT-1104
96439,94938,FLOW ELEMENT,120-FE-1101
96440,94938,TRANSMITTER_DP FLOW,120-FT-1101
96441,94938,TRANSMITTER_DP FLOW,120-FT-1103
96442,94938,TRANSMITTER_DP LEVEL,120-LT-1101A
96443,94938,TRANSMITTER_DP LEVEL,120-LT-1101B
96444,94938,TRANSMITTER_DP LEVEL,120-LT-1101C
96445,94938,TRANSMITTER_DP LEVEL,120-LT-1107
96446,94938,TRANSMITTER_PRESSURE,120-PT-1133A
96447,94938,TRANSMITTER_PRESSURE,120-PT-1133B
96448,94938,TRANSMITTER_PRESSURE,120-PT-1133C
96450,94938,TRANSMITTER_TEMPERATURE,120-TT-1134
96451,94938,ON-OFF VALVE,120-XV-1104
96456,94938,TEMPERATURE GAUGE,120-TG-1136
96457,94938,LEVEL GAUGE,120-LG-1102
96587,94938,FLOW ELEMENT,120-FE-1161
96588,94938,TRANSMITTER_DP FLOW,120-FT-1161
96593,94938,CONTROL VALVE,120-PV-1168
96594,94938,CONTROL VALVE,120-PV-1169
96595,94938,TRANSMITTER_TEMPERATURE,120-TT-1161
94949,94939,INTERMITTENT BLOW DOWN DRUM,120-VD-210
95034,94939,PHOSPHATE DOSING UNIT,120-XP-201
