Requisition ID,Requisition Number,Suggested Supplier Contact ID,Delivery Location,Requisition Description,Requisitioned By Contact ID,Required By Date Time,Work Order ID,Account Code ID,Comment,User Defined Text Box,User Defined Date Time,Requisition User Defined1ID,Created By Contact ID,Created Date Time,Modified By Contact ID,Modified Date Time,Raised Date Time,Is From Replenish Stock,Approval Path ID
64,103,1448,Uzbekistan GTL plant,to ensure continuous operation of the pumps (150-PC-002A/B),1460,17/03/2023 3:34:18 PM,,18040,,,,,1460,17/02/2023 3:34:18 PM,1460,17/02/2023 3:37:41 PM,17/02/2023 3:34:18 PM,,33
65,104,1448,Uzbekistan GTL plant,to ensure continuous operation of the pumps (150-PC-002A/B),1460,17/03/2023 3:54:57 PM,,18040,,,,,1460,17/02/2023 3:54:57 PM,1460,17/02/2023 3:59:35 PM,17/02/2023 3:54:57 PM,,33
66,108,1448,Uzbekistan GTL Plant,,1903,20/02/2023 11:01:57 AM,,18130,,,,,1903,20/02/2023 11:01:57 AM,1452,21/02/2023 11:07:46 AM,20/02/2023 11:01:57 AM,,36
67,111,1448,Uzbekistan GTL plant,Test,1651,21/02/2023 9:50:31 AM,,18048,,,,,1651,21/02/2023 9:50:31 AM,1651,21/02/2023 10:00:36 AM,21/02/2023 9:50:31 AM,,33
68,110,1448,"Training at factory Reinbek, Germany for Bartec Benke Process Analyzers",To ensure continius operation of analyzers,1902,28/02/2023 11:14:27 AM,,18178,,,,,1902,21/02/2023 11:14:27 AM,1909,6/03/2023 2:21:41 PM,21/02/2023 11:14:27 AM,,36
69,114,1448,Uzbekistan GTL plant ,to ensure continious operation of UzGTL plant  ,1920,15/03/2023 12:18:28 PM,,18082,,,,,1920,21/02/2023 12:18:28 PM,1909,10/03/2023 9:44:58 AM,21/02/2023 12:18:28 PM,,34
70,117,1448,"""Uzbekistan GTL"" LLC",To ensure a trainig course of Scaffolding,1902,21/03/2023 12:29:58 PM,,18178,Expected price each increased to $1500 from $40.  Rejected due to lack of technical information in request.,Lack of technical information has been fullfilled,,,1902,21/02/2023 12:29:58 PM,1919,27/07/2023 4:58:27 PM,21/02/2023 12:29:58 PM,,33
71,118,1448,"""Uzbekistan GTL"" LLC",To ensure course of public speaking,1902,21/02/2023 12:36:48 PM,,18178,,,,,1902,21/02/2023 12:36:48 PM,1909,16/03/2023 12:28:59 PM,21/02/2023 12:36:48 PM,,36
72,112,1448,Uzbekistan GTL Plant,Ishchi hodimlar ehtiyoji uchun (),695,10/03/2023 11:23:20 AM,,18064,,Bir martalik kombenzon ,,,695,21/02/2023 11:23:20 AM,1909,16/03/2023 12:19:44 PM,21/02/2023 11:23:20 AM,,36
73,120,1448,Uzbekistan GTL plant ,to ensure continious operation of Unit 30 and 45 ,1920,15/03/2023 3:30:38 PM,,18082,,,,,1920,21/02/2023 3:30:38 PM,1909,16/03/2023 12:20:27 PM,21/02/2023 3:30:38 PM,,34
