Work Order Spare ID,Work Order ID,Work Order Spare Description,Estimated Quantity,Estimated Unit Cost,Actual Quantity,UOMID,Work Order Component ID
7205,59820,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,44593
7206,59820,Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,1.0000000,0.1000000,0.0000000,15,44593
7207,59820,"Спецодежда летный из 100 х/б размеры 48,50,52,54,56",1.0000000,13.1623000,0.0000000,8,44593
7208,59820,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44593
7209,59821,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,44594
7210,59821,Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,1.0000000,0.1000000,0.0000000,15,44594
7211,59821,"Спецодежда летный из 100 х/б размеры 48,50,52,54,56",1.0000000,13.1623000,0.0000000,8,44594
7212,59821,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44594
7213,59822,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,0.0000000,15,44595
7214,59822,Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,1.0000000,0.1000000,0.0000000,15,44595
7215,59822,"Спецодежда летный из 100 х/б размеры 48,50,52,54,56",1.0000000,13.1623000,0.0000000,8,44595
7216,59822,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44595
7217,59823,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,44596
7218,59823,Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,1.0000000,0.1000000,0.0000000,15,44596
7219,59823,"Спецодежда летный из 100 х/б размеры 48,50,52,54,56",1.0000000,13.1623000,0.0000000,8,44596
7220,59823,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44596
7221,59824,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,0.0000000,15,44597
7222,59824,Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,1.0000000,0.1000000,0.0000000,15,44597
7223,59824,"Спецодежда летный из 100 х/б размеры 48,50,52,54,56",1.0000000,13.1623000,0.0000000,8,44597
7224,59824,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44597
7225,59825,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,44598
7226,59825,Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,1.0000000,0.1000000,0.0000000,15,44598
7227,59825,"Спецодежда летный из 100 х/б размеры 48,50,52,54,56",1.0000000,13.1623000,0.0000000,8,44598
7228,59825,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44598
7229,59826,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,0.0000000,15,44599
7230,59826,Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,1.0000000,0.1000000,0.0000000,15,44599
7231,59826,"Спецодежда летный из 100 х/б размеры 48,50,52,54,56",1.0000000,13.1623000,0.0000000,8,44599
7232,59826,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44599
7233,59827,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,1.0000000,15,44600
7234,59827,Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,1.0000000,0.1000000,0.0000000,15,44600
7235,59827,"Спецодежда летный из 100 х/б размеры 48,50,52,54,56",1.0000000,13.1623000,0.0000000,8,44600
7236,59827,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44600
7237,59828,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,0.0000000,15,44601
7238,59828,Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,1.0000000,0.1000000,0.0000000,15,44601
7239,59828,"Спецодежда летный из 100 х/б размеры 48,50,52,54,56",1.0000000,13.1623000,0.0000000,8,44601
7240,59828,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44601
7241,59829,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,0.0000000,15,44602
7242,59829,Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,1.0000000,0.1000000,0.0000000,15,44602
7243,59829,"Спецодежда летный из 100 х/б размеры 48,50,52,54,56",1.0000000,13.1623000,0.0000000,8,44602
7244,59829,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44602
7245,59830,"Спец.обувь мужские для рабочих,ГОСТ 28507-99",1.0000000,18.2400000,0.0000000,15,44603
7246,59830,Перчатки рабочие х/б с ПВХ нанесением 67+/-3 гр,1.0000000,0.1000000,0.0000000,15,44603
7247,59830,"Спецодежда летный из 100 х/б размеры 48,50,52,54,56",1.0000000,13.1623000,0.0000000,8,44603
7248,59830,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44603
7249,59832,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44606
7250,59833,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44607
7251,59834,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44608
7252,59835,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44609
7253,59838,Химические реактивы (Изопропиловый спир),2.0000000,6.3393000,2.0000000,17,44611
7254,59841,Химические реактивы (Изопропиловый спир),2.0000000,6.3393000,2.0000000,17,44618
7255,59842,Фильтровальный порошок перлитовый вспученный,1200.0000000,0.9117000,1200.0000000,17,
7256,59843,Химические реактивы (Изопропиловый спир),1.0000000,6.3393000,1.0000000,17,44619
7257,49916,Электроды сварочные УОНИ 13/55 д 4 мм,4.0000000,1.4871000,0.0000000,17,37169
7258,59876,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44622
7259,59877,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44623
7260,59878,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,0.0000000,8,44624
7261,59879,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44625
7262,59880,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44626
7263,59881,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,0.0000000,8,44627
7264,59882,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44628
7265,59883,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44629
7266,59884,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44630
7267,59885,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44631
7268,59886,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44632
7270,59888,Специальная форменная одежда ГОСТ 27575-87,1.0000000,43.6600000,1.0000000,8,44634
